energy_kev,energy_bin_start_kev,energy_bin_end_kev,ne_bin_0,ne_bin_1,ne_bin_2,ne_bin_3,ne_bin_4,ne_bin_5,ne_bin_6,ne_bin_7,ne_bin_8,ne_bin_9,ne_bin_10,ne_bin_11,ne_bin_12,ne_bin_13,ne_bin_14,ne_bin_15,ne_bin_16,ne_bin_17,ne_bin_18,ne_bin_19,ne_bin_20,ne_bin_21,ne_bin_22,ne_bin_23,ne_bin_24,ne_bin_25,ne_bin_26,ne_bin_27,ne_bin_28,ne_bin_29,ne_bin_30,ne_bin_31,ne_bin_32,ne_bin_33,ne_bin_34,ne_bin_35,ne_bin_36,ne_bin_37,ne_bin_38,ne_bin_39,ne_bin_40,ne_bin_41,ne_bin_42,ne_bin_43,ne_bin_44,ne_bin_45,ne_bin_46,ne_bin_47,ne_bin_48,ne_bin_49,ne_bin_50,ne_bin_51,ne_bin_52,ne_bin_53,ne_bin_54,ne_bin_55,ne_bin_56,ne_bin_57,ne_bin_58,ne_bin_59,ne_bin_60,ne_bin_61,ne_bin_62,ne_bin_63,ne_bin_64,ne_bin_65,ne_bin_66,ne_bin_67,ne_bin_68,ne_bin_69,ne_bin_70,ne_bin_71,ne_bin_72,ne_bin_73,ne_bin_74,ne_bin_75,ne_bin_76,ne_bin_77,ne_bin_78,ne_bin_79,ne_bin_80,ne_bin_81,ne_bin_82,ne_bin_83,ne_bin_84,ne_bin_85,ne_bin_86,ne_bin_87,ne_bin_88,ne_bin_89,ne_bin_90,ne_bin_91,ne_bin_92,ne_bin_93,ne_bin_94,ne_bin_95,ne_bin_96,ne_bin_97,ne_bin_98,ne_bin_99,ne_bin_100,ne_bin_101,ne_bin_102,ne_bin_103,ne_bin_104,ne_bin_105,ne_bin_106,ne_bin_107,ne_bin_108,ne_bin_109,ne_bin_110,ne_bin_111,ne_bin_112,ne_bin_113,ne_bin_114,ne_bin_115,ne_bin_116,ne_bin_117,ne_bin_118,ne_bin_119,ne_bin_120,ne_bin_121,ne_bin_122,ne_bin_123,ne_bin_124,ne_bin_125,ne_bin_126,ne_bin_127,ne_bin_128,ne_bin_129,ne_bin_130,ne_bin_131,ne_bin_132,ne_bin_133,ne_bin_134,ne_bin_135,ne_bin_136,ne_bin_137,ne_bin_138,ne_bin_139,ne_bin_140,ne_bin_141,ne_bin_142,ne_bin_143,ne_bin_144,ne_bin_145,ne_bin_146,ne_bin_147,ne_bin_148,ne_bin_149,ne_bin_150,ne_bin_151,ne_bin_152,ne_bin_153,ne_bin_154,ne_bin_155,ne_bin_156,ne_bin_157,ne_bin_158,ne_bin_159,ne_bin_160,ne_bin_161,ne_bin_162,ne_bin_163,ne_bin_164,ne_bin_165,ne_bin_166,ne_bin_167,ne_bin_168,ne_bin_169,ne_bin_170,ne_bin_171,ne_bin_172,ne_bin_173,ne_bin_174,ne_bin_175,ne_bin_176,ne_bin_177,ne_bin_178,ne_bin_179,ne_bin_180,ne_bin_181,ne_bin_182,ne_bin_183,ne_bin_184,ne_bin_185,ne_bin_186,ne_bin_187,ne_bin_188,ne_bin_189,ne_bin_190,ne_bin_191,ne_bin_192,ne_bin_193,ne_bin_194,ne_bin_195,ne_bin_196,ne_bin_197,ne_bin_198,ne_bin_199
1.05,1,1.1,0,0,0,0,0.00237276,0.0115079,0.0424724,0.10108,0.165975,0.207379,0.195041,0.14023,0.0761656,0.0354728,0.0154229,0.00533871,0.000830466,0.000711828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.15,1.1,1.2,0,0,0,0,0,0.00165916,0.010666,0.035909,0.0828395,0.140555,0.176701,0.183574,0.148376,0.105001,0.0657739,0.0314055,0.0131548,0.00296279,0.00130363,0.000118511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.25,1.2,1.3,0,0,0.000119289,0,0.000119289,0.00131218,0.00608374,0.0199213,0.0521293,0.100441,0.14434,0.164142,0.16104,0.128116,0.0951927,0.0621496,0.0343552,0.0168198,0.00835023,0.00357867,0.00155076,0.000119289,0.000119289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.35,1.3,1.4,0,0,0,0,0.000119703,0.000239406,0.00155614,0.00885803,0.0269332,0.0602107,0.112282,0.152861,0.160881,0.152502,0.123175,0.0840316,0.0594925,0.0337563,0.014125,0.00550634,0.00251377,0.000718219,0.000239406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.45,1.4,1.5,0,0,0,0,0.000121139,0,0.000847971,0.00242277,0.0102968,0.0274985,0.0494246,0.0906118,0.123198,0.146457,0.138825,0.125015,0.107087,0.0740157,0.0472441,0.0293156,0.0144155,0.00872199,0.00278619,0.00133253,0.000121139,0.000121139,0.000121139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55,1.5,1.6,0,0,0,0,0,0.000238749,0.000477498,0.00155187,0.0060881,0.0188612,0.0383192,0.061836,0.0971708,0.127611,0.134774,0.126537,0.120449,0.0901277,0.0679241,0.0433329,0.0316342,0.0152799,0.0100275,0.00381998,0.00226812,0.000954996,0.000596872,0.000119374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.65,1.6,1.7,0,0,0,0,0,0,0,0.000470644,0.00341217,0.00764796,0.0216496,0.0436522,0.0674197,0.106601,0.118249,0.127191,0.12978,0.107071,0.0882457,0.0717731,0.0449465,0.0289446,0.0165902,0.00929521,0.00470644,0.00164725,0.000470644,0.000235322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.75,1.7,1.8,0,0,0,0,0,0,0,0,0.00120279,0.00384893,0.0104643,0.0221313,0.0422179,0.0698821,0.0924946,0.109694,0.116911,0.122324,0.10765,0.0858792,0.0722877,0.0493144,0.0348809,0.0295886,0.0123887,0.00817898,0.00433005,0.00264614,0.00108251,0.000481116,0.000120279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.85,1.8,1.9,0,0,0,0,0,0,0,0.000591366,0.000946186,0.00342992,0.00709639,0.0163217,0.0338261,0.0482555,0.0782969,0.102898,0.105381,0.11437,0.106801,0.102661,0.0791248,0.0642224,0.0516854,0.034181,0.0185689,0.0137197,0.00733294,0.00425784,0.00378474,0.00118273,0.000709639,0.000236546,0.000118273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.95,1.9,2,0,0,0,0,0,0,0,0,0,0.00108329,0.00361098,0.00782378,0.0168512,0.0306933,0.0512759,0.0765527,0.0943669,0.104117,0.105561,0.11519,0.0948483,0.0804044,0.0670438,0.0469427,0.0398411,0.0255176,0.0155272,0.0115551,0.00589793,0.00373134,0.000962927,0.000240732,0.000361098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.05,2,2.1,0,0,0,0,0,0,0,0,0.000242219,0.000726656,0.00230108,0.00557103,0.00980986,0.0225263,0.0379072,0.0569214,0.0681846,0.0914376,0.0943442,0.102701,0.104517,0.0953131,0.0732712,0.0657624,0.0483226,0.0412983,0.0305196,0.0188931,0.0125954,0.00871987,0.00339106,0.00242219,0.00108998,0.000726656,0.000363328,0,0,0.000121109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.15,2.1,2.2,0,0,0,0,0,0,0,0,0.000237925,0.000237925,0.00154651,0.0028551,0.0079705,0.0145134,0.0265287,0.0435403,0.0687604,0.0758982,0.0886272,0.101237,0.0993338,0.0911254,0.0856531,0.0706638,0.0603141,0.0465144,0.034975,0.0308113,0.0183202,0.0114204,0.00713776,0.00487747,0.00404473,0.00166548,0.000475851,0.000118963,0.000356888,0.000118963,0.000118963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
